galaxy,subset,n_points,morph_slice,quality_flag,hubble_type,distance_mpc,luminosity_36e9_sol,mhi_1e9_sol_mass,gas_fraction_proxy,reff_kpc,rdisk_kpc,sbeff_sol_lum_pc2,rmse_c4_4_kms,rmse_baryon_kms,rmse_mond_kms,rmse_nfw_kms,rmse_iso_kms,rmse_burkert_kms,mae_c4_4_kms,mae_baryon_kms,mae_mond_kms,mae_nfw_kms,mae_iso_kms,mae_burkert_kms,median_abs_c4_4_kms,median_abs_baryon_kms,median_abs_mond_kms,median_abs_nfw_kms,median_abs_iso_kms,median_abs_burkert_kms,vflat_sample_kms,c4_vflat_proxy_kms,best_comparator_equal_weight
UGC02487,external_151,17,bulge_rich_hsb,1,0,69.1,489.955,17.963,0.03536594489661717,9.63,7.89,818.14,105.02467948708605,222.1914844017173,56.47838935454211,192.22514849369375,112.47161107160326,133.39712473424873,99.14523305266869,220.23271389561765,52.0660169718915,191.1056537020404,112.01003175927099,132.7642378827582,82.16151984019473,225.3577007296133,42.499784028198405,193.37910583352343,111.01868530679684,133.56038604019474,332.0,307.2957650758748,mond
UGC02885,external_151,19,ordinary_disk,1,5,80.6,403.525,40.075,0.09034039675383229,12.2,11.4,421.53,66.37645713671198,142.3217194256925,77.13673510152735,119.97105369765552,47.6148677380418,80.9731967470763,42.25458077767767,137.00297110944945,69.52671709041624,113.71665209114165,38.18992473936572,64.64641290945734,26.167399825686005,128.9325581499851,60.81239751079539,104.16080302498582,32.86697752697282,58.297467418566754,289.5,327.61124355155056,iso
UGC02916,external_151,43,bulge_rich_hsb,2,2,65.4,124.153,23.273,0.1578622495353601,2.8,6.15,2425.66,108.85461478143229,150.62401258641293,77.89613323100275,104.98836553462613,20.646597916496944,42.209309857090844,102.19133901288205,150.23864369211415,67.86013956540879,104.5585426356155,14.889754848591176,34.80807063942293,102.41052230715695,146.72298076004827,62.539460107699256,102.05373476876551,9.486741185309342,29.030535674848437,182.7,155.0291547713162,iso
UGC02953,external_151,115,bulge_rich_hsb,2,2,16.5,259.518,7.678,0.02873546011167832,5.03,3.55,1544.65,109.44471740236366,159.0208853497911,74.95271429220415,131.077011147649,56.293368113936324,90.28306001273555,106.10452860122844,153.41567804268388,66.54424332570395,127.29247798415945,50.1724092371846,82.13581979246145,102.14985732812946,140.22302815816056,51.20911725693148,119.6224228967674,54.05471507179618,70.29824667919848,264.9,242.01842139221145,iso
UGC03205,external_151,48,bulge_rich_hsb,1,2,50.0,113.642,9.677,0.07847128179761433,5.35,3.19,587.26,71.74982937615829,127.60591736161379,36.56499036424161,92.06614929538067,10.56122027878955,31.94488767663211,68.47468325775087,125.94425168542817,33.61374197536268,90.8160557057087,9.075858032666268,28.445666284608823,69.08176952913233,122.63569824312381,30.398496375146152,90.22172281301673,7.398359402447397,24.812664586530516,219.6,180.66609359486372,iso
UGC03546,external_151,30,bulge_rich_hsb,1,1,28.7,101.336,2.675,0.025718433627212507,2.58,3.79,2403.42,83.84717067362104,104.34215136099994,68.32065994028515,78.49221123191175,41.72738534456333,39.660104424453614,60.55187428697887,95.97236341303315,57.08071374804246,68.84363973857543,33.58566770033062,30.018069520154896,44.14279096754157,94.5700256710945,51.46442751247203,67.23216770408538,28.524621600228244,25.399379520811777,196.9,205.45476466938385,burkert
UGC03580,calibration_24,47,bulge_rich_hsb,2,1,20.7,13.266,4.37,0.24778861419823092,1.84,2.43,614.94,20.464665561690346,49.84440357767128,25.190267272060357,15.933203308309173,15.782604452112228,17.163782996494724,17.500146411884764,43.019806898216046,22.298640275385413,12.462803861679298,10.252216025529535,13.108467475142646,16.04121120978165,29.475804926396435,25.557200305211985,9.187265412141784,6.676637265043425,9.142919436654303,126.2,117.78774287142629,iso
UGC04278,external_151,25,ordinary_disk,1,7,9.51,1.307,1.116,0.4605860503508048,2.46,2.21,34.11,7.643535151624887,37.321422247131146,15.89910206504186,9.449297846705631,4.7241375312423655,4.3141039244267585,6.01870133113707,32.427986737871755,14.410705976243952,8.80335760498908,4.153476008568153,3.691101371029636,4.023055243772809,26.480343352556254,14.304538563595003,9.492649188473763,4.792461224036558,2.7969800687001367,91.4,77.21405707471376,burkert
UGC04305,external_151,22,low_mass_dwarf,3,10,3.45,0.736,0.69,0.48387096774193544,1.23,1.16,76.71,19.968980919541117,8.18969277492671,38.394998244951566,4.377034373049292,4.045041785283845,4.0742230391704775,16.411963520979505,7.555487593334164,36.747716260619946,3.234804229948543,3.5477228765535926,3.193239513751422,17.253741609723132,7.287854859330471,38.67232702971551,2.1494936722094025,3.1415782897297397,2.4941706968215414,34.5,67.68754545707607,iso
UGC04325,external_151,8,low_mass_dwarf,1,9,9.6,2.026,0.678,0.25073964497041423,2.79,1.86,41.0,26.365205666412347,48.29516878449079,8.244766027659347,5.139956746299046,4.615396380086882,7.366065134020013,24.475180221970696,47.18410397856274,7.194907476950458,4.324440987173197,3.6090942366357934,7.133626665588628,23.56417815475184,52.223516022102544,6.376352252238043,3.920302516458804,3.170413839113344,7.547224257745842,90.9,82.61973224988294,iso
UGC04483,external_151,8,low_mass_dwarf,2,10,3.34,0.013,0.032,0.7111111111111111,0.26,0.18,29.71,2.7898172416157,8.59647565426539,12.825374259757007,1.6544016694120713,1.9011499870767665,1.6098149913587354,2.2398238725033424,7.825598475948688,12.35121450947116,1.4044286945258921,1.4634579452283152,1.287662215479072,1.788152178925145,9.490948222702858,12.015994237078836,1.0333963968922752,1.1729790001838367,1.0528128298842852,0.0,26.131478010192218,burkert
UGC04499,external_151,9,low_mass_dwarf,1,8,12.5,1.552,1.1,0.41478129713423834,2.69,1.73,33.79,8.861551482466684,29.201885922196947,29.84274881427549,4.010444594575428,3.7284029869413406,3.96801288639736,7.178779651108491,27.307267989945323,29.46102952012678,3.507263990778748,3.4343510461062876,3.414030646699529,5.067412799988361,30.859338164523393,29.094916379043127,2.958199621371463,3.776535982170735,3.5095939381277503,72.8,90.90241474166477,iso
UGC05005,external_151,11,low_mass_dwarf,1,10,53.7,4.1,3.093,0.43000139024051165,5.02,3.2,25.63,15.842338178833323,44.62978927944725,35.89984713829508,12.825549161083568,5.33126790364688,1.8451888083071195,15.611450276900639,38.59853510553698,35.554390332084004,11.116709091284488,5.103181383784254,1.6144094905804172,15.81356439080185,38.61161805272311,35.34273002389713,14.344508948137243,5.694156876629407,1.6643752068384998,98.9,121.41696669811738,burkert
UGC05253,external_151,73,bulge_rich_hsb,2,2,22.9,171.582,16.396,0.08722297290108418,4.28,8.07,1488.78,131.90996141580132,158.19639272962525,97.74224841552703,123.08523298063794,51.52436581422184,70.34019626789731,118.9564719134152,156.3282930502219,81.26733239449207,121.63824816450065,40.412064043564534,62.355473220687024,130.2362304417374,153.6092432020393,78.54037467041402,118.91882425482973,34.303168490892574,46.62949521423465,213.7,224.52078411712245,iso
UGC05414,external_151,6,low_mass_dwarf,1,10,9.4,1.123,0.574,0.33824395992928696,2.33,1.47,32.87,2.4791477025764284,20.79721913024877,23.64400526013977,4.072169922435099,2.713459658614378,2.0093036125100996,2.1928119032227897,18.828673101265974,23.55585691300978,2.7970859904241476,2.450440683824999,1.7090835157029929,1.9526610920591807,21.100546326784432,23.416020691628383,1.2582551964430237,2.680102364806089,1.1997023726948406,0.0,64.341288976236,burkert
UGC05716,external_151,12,low_mass_dwarf,2,9,21.3,0.588,1.094,0.6504161712247325,1.84,1.14,27.59,6.08656749051151,41.329317018380785,19.146784657954104,1.9410374938823798,3.2590494807371884,5.018239622656951,4.897734180256293,40.34027887145929,18.23248770283582,1.72445099680825,2.7734696182214074,4.295500013633106,3.7315139743695696,45.19637947370187,16.10502885147205,1.7488319846618445,2.831682807254005,3.978173800696503,73.1,83.64481066454113,nfw
UGC05721,calibration_24,23,bulge_rich_hsb,1,7,6.18,0.531,0.562,0.5141811527904849,0.6,0.38,233.79,20.30697802299132,41.35391496192204,8.765244601061044,4.500187991828221,5.159321073512983,3.3484667235501187,18.26052260830995,39.2306229118831,6.84846360997229,3.8143925332347384,4.309963654713308,2.749262696335752,18.84354365690406,47.006271650651755,5.058284879570593,2.3982805477166664,3.7187546142837675,2.4207768156750404,79.7,77.07355537010908,burkert
UGC05750,external_151,11,low_mass_dwarf,1,8,58.7,3.336,1.099,0.24780157835400227,8.8,3.46,6.87,11.206002823793572,32.43092901050798,29.25332613828739,10.86159124845857,5.273765911586811,5.646239763857961,9.384899010451704,27.587032136295036,28.135544332333044,9.821186106588577,4.651139305674693,4.636166473690893,7.926016488810028,27.301734882041806,27.188096884368086,11.425754485925149,4.174928851208598,4.8349537227075015,0.0,105.45774171242729,iso
