galaxy,subset,class,N_obs,factor_mean,factor_std,factor_median,factor_min,factor_max,alpha_mean,S_rad_mean
NGC5033,non_calibration_151,bulge_rich_hsb,22,0.6138248498224639,0.3558500634758403,0.7535516541374402,0.0681701379770855,0.9699701704254636,1.264082539549471,0.6331516097764824
NGC5055,calibration_24,bulge_rich_hsb,28,0.6229530623291045,0.3793156607125141,0.8571916503556698,0.0599310101975562,0.9757985885832844,1.2336269684297083,0.6452697281109218
NGC5371,non_calibration_151,bulge_rich_hsb,19,0.5970303936746605,0.3267574018466662,0.6407748412201558,0.1361475739020264,0.9753827601478938,1.2636743630135558,0.6181720436076293
NGC5585,non_calibration_151,ordinary_disk,24,0.4656770933592748,0.3579255150125597,0.3986677102581689,0.0468831114270148,0.9194166525863536,0.9643476438063238,0.5217895377200124
NGC5907,non_calibration_151,bulge_rich_hsb,19,0.8200890920273671,0.2524199259730216,0.966314207279948,0.1829211057799805,0.9727899922407962,1.2914688119533395,0.8486420673700426
NGC5985,non_calibration_151,bulge_rich_hsb,33,0.7082983704846879,0.2303133884283539,0.7812604533940293,0.2158736476285591,0.9658139880919636,1.2106997045339822,0.7522120402948199
NGC6015,non_calibration_151,bulge_rich_hsb,44,0.6333450462310489,0.3583985982587589,0.8928056307891732,0.0514188924289566,0.960991230396098,1.1690238750446222,0.6678637220558731
NGC6195,non_calibration_151,bulge_rich_hsb,23,0.5182768427370614,0.1929798942602388,0.4904828661467888,0.2256940839828206,0.8907099766928364,1.2119735404350052,0.5509662837725291
NGC6503,calibration_24,bulge_rich_hsb,31,0.6832989902992559,0.3425305599498356,0.8913195525632874,0.0285242756098545,0.9613025926326348,1.2150717678596057,0.7118544607781295
NGC6674,non_calibration_151,bulge_rich_hsb,15,0.8531571629738239,0.2324860957257434,0.9727981186723504,0.2456902001132378,0.9758899975217724,1.3244271921080957,0.8772827949029108
NGC6789,non_calibration_151,low_mass_dwarf,4,0.1259930174813735,0.0525047102416739,0.1047131549519534,0.0916751284998912,0.2028706315216961,0.5502816667461627,0.2353694129724994
NGC6946,calibration_24,bulge_rich_hsb,58,0.6282926481573192,0.3281654419965314,0.7825335162044786,0.0440415869267898,0.9476690901754408,1.2085608331789828,0.6567427858954269
NGC7331,non_calibration_151,bulge_rich_hsb,36,0.5295629456487724,0.3275117596110138,0.5189211247785874,0.0642031565245632,0.9585101281395646,1.2248835327920742,0.5508224202534955
NGC7793,non_calibration_151,bulge_rich_hsb,46,0.2270035484496693,0.2651046324716922,0.0791580541012331,0.0143580634952556,0.8454329252327633,0.7693188697730219,0.2648438909265772
NGC7814,non_calibration_151,bulge_rich_hsb,18,0.6699193595077735,0.3511360557587091,0.8657178967142014,0.0498790716407068,0.9647801207234464,1.1978258252497462,0.7020485027357283
PGC51017,non_calibration_151,low_mass_dwarf,6,0.5195758763947831,0.1977697266745322,0.5703769083516994,0.2221900739240386,0.7272356663224953,0.8523078708913353,0.6751492904034243
UGC00128,non_calibration_151,low_mass_dwarf,22,0.8962869675807944,0.0890284892372005,0.9337666745357344,0.5812902040907135,0.9448537490395902,1.1661305646252211,0.9781639755230388
UGC00191,non_calibration_151,low_mass_dwarf,9,0.4512198820385907,0.3099667567414033,0.3063339775636765,0.1353439664118925,0.898288179171611,0.8403772827711138,0.5711531208609952
UGC00634,non_calibration_151,low_mass_dwarf,4,0.8198844907339534,0.1230061178995013,0.8610084195297227,0.6425356176224586,0.9149855062539096,1.130564620371786,0.9061593773867724
UGC00731,non_calibration_151,low_mass_dwarf,12,0.703445985458461,0.1585944741657128,0.7541506950101586,0.3596265534176552,0.8637880994922649,0.991060594046807,0.845250993285763
UGC00891,non_calibration_151,low_mass_dwarf,5,0.6436610579028883,0.1949419824546523,0.6981398439577382,0.3448074416960222,0.8311585026810667,0.9919107680074496,0.7620095641842368
UGC01230,non_calibration_151,low_mass_dwarf,11,0.8087890630839604,0.1591500765717984,0.8654029545945896,0.4697285999646381,0.9507855733831088,1.110186249108301,0.90549927025794
UGC01281,non_calibration_151,low_mass_dwarf,25,0.4764992740921348,0.1853957252165337,0.4885170154138453,0.1713953248834729,0.7798985518323537,0.7828209501015312,0.6633733051583818
UGC02023,non_calibration_151,low_mass_dwarf,5,0.448526654816252,0.1947590305001882,0.4708286976408323,0.1992069786889787,0.6764214604045301,0.8572256634566611,0.5784476410007622
UGC02259,non_calibration_151,low_mass_dwarf,8,0.6292399907973343,0.2472630849903086,0.7091453211130534,0.197612999608355,0.872260599747774,1.0277645276374152,0.7207205240139828
UGC02455,non_calibration_151,low_mass_dwarf,8,0.2412292521857053,0.1868672663111688,0.2164367785461375,0.0309020418746094,0.5226569674620613,0.8997288974936231,0.2832006030082998
UGC02487,non_calibration_151,bulge_rich_hsb,17,0.7937621812538254,0.2908176981158425,0.9653383144598282,0.1493143377854189,0.9728057294115088,1.1939144570508422,0.8511467248618411
UGC02885,non_calibration_151,ordinary_disk,19,0.8242741087445346,0.222898575569966,0.948690091199792,0.3058498682286795,0.9767464666721056,1.30836072654372,0.8510408759168913
UGC02916,non_calibration_151,bulge_rich_hsb,43,0.5687127893443665,0.2244976619974778,0.5498608720855372,0.1637004656391326,0.9567877707353256,1.1472218029958432,0.6180113933907434
UGC02953,non_calibration_151,bulge_rich_hsb,115,0.4480280448344099,0.3805504071436725,0.2615276594111502,0.0399700368545095,0.9759445110716668,1.1125748525917198,0.4747882746317186
UGC03205,non_calibration_151,bulge_rich_hsb,48,0.6105782062946887,0.316085473168978,0.6007069099394504,0.0714288063039968,0.9694843007190532,1.1907058948819629,0.6445415604973863
UGC03546,non_calibration_151,bulge_rich_hsb,30,0.3508666614028359,0.3708605805158775,0.1236565628910879,0.0239388548165242,0.9746113262781978,0.9843955123433972,0.3769540663827093
UGC03580,calibration_24,bulge_rich_hsb,47,0.389462900184391,0.363636429009843,0.1760182899967745,0.0335412861281402,0.9602422246689116,0.9777076311000766,0.4285872529046667
UGC04278,non_calibration_151,ordinary_disk,25,0.5849348396572216,0.210629265902787,0.6362583984833937,0.1835688320541442,0.8371481085798107,0.947059751464386,0.7087965185224491
UGC04305,non_calibration_151,low_mass_dwarf,22,0.5061850188657485,0.2098565396039428,0.5592207707980352,0.1297432182576198,0.762292104190801,0.92622511898351,0.6161077100088672
UGC04325,non_calibration_151,low_mass_dwarf,8,0.4226336222941318,0.2104733845283293,0.4340064160684657,0.1274506574542228,0.7031230719102498,0.9639674403212796,0.4985131301306555
UGC04483,non_calibration_151,low_mass_dwarf,8,0.2502979215944153,0.1085546459320003,0.2283322675183993,0.1383729079795109,0.4158746621704338,0.56757667379,0.449937057289009
UGC04499,non_calibration_151,low_mass_dwarf,9,0.5824964563076945,0.2350361073911319,0.6515623709306778,0.1845442174296704,0.8363385988898879,1.0383800298758132,0.6629438218589709
UGC05005,non_calibration_151,low_mass_dwarf,11,0.8129642912278802,0.1475206530411972,0.8655335977918673,0.477414835622686,0.9367108482410352,1.0678765976528153,0.9308823150530277
UGC05253,non_calibration_151,bulge_rich_hsb,73,0.3777741722268246,0.2767659173359311,0.2654920164737302,0.0875282222970429,0.976200770160184,1.0752573026005374,0.4172626615633003
UGC05414,non_calibration_151,low_mass_dwarf,6,0.3978547389464048,0.1815448188231845,0.4066753879441817,0.1576526880100425,0.6238670459939162,0.8940699817460503,0.4964264029373723
UGC05716,non_calibration_151,low_mass_dwarf,12,0.7454698000569432,0.1819873542068631,0.8179721085476618,0.3083005587604072,0.8967867586938657,1.047669369597486,0.8559248657194182
UGC05721,calibration_24,bulge_rich_hsb,23,0.4326848629889975,0.2484346625603912,0.4841486842959657,0.0482239647556077,0.7575586783815518,0.966500325191868,0.4985780478808321
UGC05750,non_calibration_151,low_mass_dwarf,11,0.6805163068165772,0.1625157732971999,0.7117497330150167,0.3533229399806466,0.8828476432875512,0.7928479373598475,0.9693586500410902
UGC05764,calibration_24,low_mass_dwarf,10,0.428584889364935,0.1713493982613539,0.4451871172317359,0.1633618190352946,0.657703753265269,0.8018427410157223,0.5827790024832228
UGC05829,non_calibration_151,low_mass_dwarf,11,0.6238429863265718,0.1760279996349212,0.6733887270908456,0.2901941308028141,0.8172118157671224,0.8923038959988642,0.7992373671281189
UGC05918,non_calibration_151,low_mass_dwarf,8,0.5515601801922188,0.1616151687057757,0.5902681037686182,0.278789654100578,0.7299508999054822,0.6760231946358443,0.8779954620953296
UGC05986,non_calibration_151,low_mass_dwarf,15,0.6138503102826841,0.2722492347223512,0.7056747278679342,0.126279593245305,0.8893139215360887,1.072898763321503,0.6821055184473567
UGC05999,non_calibration_151,low_mass_dwarf,5,0.8075633725519585,0.1348729662229792,0.8637839359447729,0.5830538314407306,0.9109811486317372,1.103541533702466,0.9042047042157484
UGC06399,non_calibration_151,low_mass_dwarf,9,0.6430696249311348,0.2224953555231098,0.717406381914259,0.2535313462442127,0.869937395069754,0.9879827939846392,0.7588446594658882
UGC06446,non_calibration_151,ordinary_disk,17,0.6480499163243438,0.2266125577334868,0.7397209545068514,0.1733579228578464,0.8731966441537111,1.0524603164311768,0.7342700172196424
UGC06614,non_calibration_151,bulge_rich_hsb,13,0.8859700535835475,0.1193710731351461,0.9191857451261454,0.5259096241038862,0.9662479381231596,1.2599997335756556,0.9298771848969244
UGC06628,non_calibration_151,low_mass_dwarf,7,0.6168387053270747,0.2043351007620471,0.661410289048728,0.2949564621468242,0.8416902189193507,0.9945687467669796,0.7274852817551881
UGC06667,non_calibration_151,ordinary_disk,9,0.6511492949206321,0.1663065753374038,0.7014208584216337,0.3328401471383398,0.8229718889410303,0.8255918544068303,0.8937748663657017
UGC06786,non_calibration_151,bulge_rich_hsb,45,0.4829311812807838,0.329117528562372,0.3560618651041409,0.0480877355524301,0.970183019107456,1.1336293414283367,0.5152438146102455
UGC06787,non_calibration_151,bulge_rich_hsb,71,0.4687222880485414,0.3202521826109055,0.3593126009626873,0.0677746986417869,0.9721711715042924,1.106259851820916,0.5061753223896298
UGC06818,non_calibration_151,low_mass_dwarf,8,0.6249759993387644,0.2719998000354702,0.7224722201568453,0.1619953776476985,0.8821831750113556,0.9980616411007414,0.7242939557835297
UGC06917,non_calibration_151,low_mass_dwarf,11,0.6306850647366228,0.238900574138668,0.6994880470633855,0.2009096850590528,0.8874454990874657,1.0550058179278885,0.713155641026042
UGC06923,non_calibration_151,low_mass_dwarf,6,0.293593738138857,0.1893693647291845,0.2946297620657764,0.0525389049999067,0.5372821074784647,0.9885261866359744,0.3346475011277772
UGC06930,non_calibration_151,ordinary_disk,10,0.7196898856275193,0.2215618527988667,0.8041654303709634,0.2980449504613292,0.9238379699876832,1.167439413180801,0.7767087365063692
UGC06973,calibration_24,bulge_rich_hsb,9,0.5541545696621624,0.3353794985518284,0.651449987322836,0.0578487912732313,0.8774223832008629,1.2331513856930596,0.5738561569186204
UGC06983,non_calibration_151,ordinary_disk,17,0.7084199501494216,0.2265240332939777,0.8014346367077821,0.2237426325487823,0.9217084422359934,1.122862684663569,0.7781841528295907
UGC07089,non_calibration_151,low_mass_dwarf,12,0.6868404336503026,0.219211081400879,0.7823470365724419,0.248954890335202,0.8885991044315686,1.0347314466024593,0.7890892405973382
UGC07125,non_calibration_151,low_mass_dwarf,13,0.8007878457667628,0.1488735393076761,0.8644538832552366,0.4383310926936916,0.9225377117825784,1.0975716475496635,0.900926499211858
UGC07151,non_calibration_151,bulge_rich_hsb,11,0.4347052127454204,0.2540000008705094,0.4578557914981578,0.0729110572134369,0.7684294405202822,0.9682483649586312,0.5026256205949607
UGC07232,non_calibration_151,low_mass_dwarf,4,0.1229348718845624,0.0806513584745382,0.0941134965693171,0.0658935134599575,0.2376189809396582,0.5605964470020496,0.2178805314972138
UGC07261,non_calibration_151,low_mass_dwarf,7,0.6209620142690806,0.2563496729463744,0.7304386157449234,0.1975522445424,0.8599956462539243,0.9969301956634116,0.7231236074740925
UGC07323,non_calibration_151,low_mass_dwarf,10,0.4335152045072193,0.2217316784039672,0.440003987214601,0.1240254650795044,0.7440492879275222,0.9649413084934356,0.5099493097432228
UGC07399,non_calibration_151,low_mass_dwarf,10,0.4238811318851369,0.2275383140489788,0.440378454465739,0.0955388471444258,0.7256950741046676,0.9936505521685244,0.4875015618482573
