galaxy,subset,morph_slice,n_points,rmse_c4_4_kms,rmse_nfw_kms,delta_rmse_gmr_minus_nfw_kms,delta_squared_contribution_gmr_minus_nfw,abs_delta_squared_contribution,top5pct_favorable_to_gmr
UGC03546,external_151,bulge_rich_hsb,30,83.84717067362104,78.49221123191175,5.354959441709283,869.3208058962819,869.3208058962819,False
UGC07399,external_151,low_mass_dwarf,10,31.82275984897304,3.5969730709482985,28.22578677802474,999.7498291322834,999.7498291322834,False
F561-1,external_151,low_mass_dwarf,6,32.42394502409696,2.962965812409064,29.460979211687896,1042.533044520157,1042.533044520157,False
UGC08699,external_151,bulge_rich_hsb,41,77.24138297376747,70.10655036310551,7.1348326106619595,1051.3028398855658,1051.3028398855658,False
UGC06628,external_151,low_mass_dwarf,7,33.761932867970614,1.7873525168523785,31.974580351118234,1136.673481961856,1136.673481961856,False
NGC0024,external_151,bulge_rich_hsb,29,36.62889837720366,10.041583197815967,26.587315179387694,1240.8428032088532,1240.8428032088532,False
NGC4051,external_151,bulge_rich_hsb,7,37.60039604441656,9.46065951865149,28.139736525765073,1324.2857041691257,1324.2857041691257,False
UGC07125,external_151,low_mass_dwarf,13,37.73560448011949,3.4626350898277867,34.272969390291706,1411.9860037147075,1411.9860037147075,False
F574-2,external_151,low_mass_dwarf,5,40.07316463081276,4.478228401051082,35.59493622976168,1585.8039939162425,1585.8039939162425,False
NGC2903,external_151,bulge_rich_hsb,34,51.57047715484882,32.02937138334627,19.541105771502544,1633.6334827664627,1633.6334827664627,False
UGC09037,external_151,bulge_rich_hsb,22,49.290518357859575,19.34339278249994,29.947125575359635,2055.388355648421,2055.388355648421,False
UGC05253,external_151,bulge_rich_hsb,73,131.90996141580132,123.08523298063794,8.82472843516338,2250.26334282027,2250.26334282027,False
NGC5005,external_151,bulge_rich_hsb,18,81.9616245740837,61.519432190071925,20.442192384011776,2933.0673658341834,2933.0673658341834,False
NGC2955,calibration_24,bulge_rich_hsb,24,91.08773280400648,70.97313017408962,20.11460262991686,3259.789860665808,3259.789860665808,False
UGC11914,external_151,bulge_rich_hsb,65,137.06795056659786,119.8003200020242,17.267630564573665,4435.506399939915,4435.506399939915,False
NGC5371,external_151,bulge_rich_hsb,19,107.40348700458196,28.11118635089021,79.29230065369175,10745.27022268893,10745.27022268893,False
NGC0801,external_151,bulge_rich_hsb,13,122.681468780322,53.39922948662953,69.28223929369247,12199.265072331398,12199.265072331398,False
