series,x_log10_gbar,y_log10_gobs,n_points,residual_vs_official
official_all,-10.63,-10.01,,
official_all,-10.73,-10.07,,
official_all,-10.81,-10.11,,
official_all,-10.89,-10.15,,
official_all,-10.97,-10.2,,
official_all,-11.05,-10.26,,
official_all,-11.12,-10.3,,
official_all,-11.18,-10.31,,
official_all,-11.23,-10.37,,
official_all,-11.95,-10.42,,
official_all,-11.66,-10.39,,
official_all,-11.43,-10.35,,
official_all,-11.43,-10.35,,
official_all,-11.36,-10.39,,
official_all,-11.38,-10.43,,
official_all,-11.37,-10.47,,
official_all,-11.44,-10.52,,
official_all,-9.36,-9.42,,
official_all,-10.05,-9.98,,
official_all,-10.16,-10.06,,
official_all,-10.21,-10.09,,
official_all,-10.25,-10.12,,
official_all,-10.28,-10.15,,
official_all,-10.98,-10.43,,
official_all,-11.02,-10.44,,
official_all,-11.16,-10.54,,
official_all,-11.35,-10.68,,
official_all,-11.02,-10.16,,
official_all,-11.11,-10.25,,
official_all,-11.11,-10.3,,
official_all,-11.13,-10.34,,
official_all,-11.22,-10.36,,
official_all,-11.23,-10.37,,
official_all,-11.21,-10.39,,
official_all,-11.22,-10.44,,
official_all,-11.21,-10.48,,
official_all,-11.21,-10.5,,
official_all,-11.2,-10.54,,
official_all,-11.24,-10.55,,
official_all,-11.32,-10.59,,
official_all,-11.35,-10.63,,
official_all,-11.02,-10.34,,
official_all,-11.0,-10.35,,
official_all,-11.03,-10.35,,
official_all,-11.06,-10.37,,
official_all,-11.1,-10.43,,
official_all,-11.15,-10.47,,
official_all,-11.21,-10.5,,
official_all,-10.57,-10.35,,
official_all,-10.65,-10.18,,
official_all,-10.61,-10.1,,
official_all,-10.54,-10.04,,
official_all,-10.57,-10.03,,
official_all,-10.63,-10.02,,
official_all,-10.65,-10.03,,
official_all,-10.69,-10.07,,
official_all,-10.77,-10.11,,
official_all,-10.86,-10.16,,
official_all,-10.93,-10.2,,
official_all,-11.01,-10.25,,
official_all,-11.1,-10.3,,
official_all,-11.15,-10.36,,
official_all,-11.17,-10.4,,
official_all,-11.49,-10.74,,
official_all,-11.55,-10.78,,
official_all,-11.55,-10.82,,
official_all,-11.55,-10.84,,
official_all,-11.31,-10.7,,
official_all,-11.23,-10.67,,
official_all,-11.17,-10.68,,
official_all,-11.16,-10.65,,
official_all,-11.18,-10.66,,
official_all,-11.7,-10.38,,
official_all,-11.4,-10.36,,
official_all,-11.34,-10.29,,
official_all,-11.29,-10.28,,
official_all,-11.24,-10.34,,
official_all,-11.22,-10.36,,
official_all,-11.23,-10.4,,
official_all,-11.26,-10.48,,
official_all,-11.33,-10.6,,
official_all,-11.4,-10.65,,
official_all,-11.45,-10.78,,
official_all,-11.36,-10.73,,
official_all,-10.21,-9.79,,
official_all,-10.28,-9.8,,
official_all,-10.37,-9.9,,
