galaxy,sbeff_sol_lum_pc2,gas_fraction_proxy,c4_minus_nfw_kms,morph_slice
UGC08837,15.73,0.389768574908648,2.763090990268437,low_mass_dwarf
UGC09037,334.83,0.21755690370843403,29.947125575359635,bulge_rich_hsb
UGC09133,1284.78,0.10566643696618346,-30.68862457801184,bulge_rich_hsb
UGC09992,20.18,0.4862385321100917,11.504424116855258,low_mass_dwarf
UGC10310,28.37,0.4072182499148791,3.7106227330275776,low_mass_dwarf
UGC11455,571.26,0.03439896609631711,-55.95180214822378,bulge_rich_hsb
UGC11557,106.86,0.17713858289133685,13.79142867358207,low_mass_dwarf
UGC11820,20.18,0.6708517136070581,4.450530905103298,low_mass_dwarf
UGC11914,2425.66,0.005884067958334438,17.26763056457365,bulge_rich_hsb
UGC12506,144.82,0.2030298012299645,-59.08946096922222,bulge_rich_hsb
UGC12632,13.09,0.5727422003284073,3.92890622016609,low_mass_dwarf
UGC12732,26.84,0.68706589074526,0.7818799535399172,low_mass_dwarf
UGCA281,12.5,0.2421875,5.569320623041444,low_mass_dwarf
UGCA442,7.6,0.6526054590570719,2.676625848684591,low_mass_dwarf
